PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,Normalized_COM_6M,Normalized_COM_3M,Normalized_52W_LOW,FINAL_THG,CS_FACTOR,MATUR_YEAR,Expannr,FINAL_THG_ORIG,Group,SMI,SHORT_FINAL
GPMT PRA,GPMT-A,GPMT,NFF,,8.0,06/30/2025,1/15/2027,NONE,0.44,7.00%,,,48.41,Reit,,28.0,,,,,,18.35,,,17.43,16.97,6.93,9.81,15.86,19.02,15.38,19.02,18.34,2.48,-0.68,10.0,10.0,38.04,16.99,-0.68,2.96,14.88,69.55,11565.0,9747.0,6273.0,9195.0,37.86,,,,101.29,1.0,,-8.22,174.29,5.0,0.0485,125.54
WAL PRA,WAL-A,WAL,NFF,,8.0,06/13/2025,9/30/2026,NONE,0.27,4.25%,,,110.43,Regionalbank,,11.0,,,,,,22.22,,,21.88,20.71,2.62,8.38,19.57,23.0,13.2,23.0,22.21,2.64,-0.79,28.61,14.87,35.05,18.43,-0.79,9.01,16.13,31.58,41084.0,34164.0,16505.0,30584.0,57.79,,,,162.74,1.0,,6.01,267.22,11.0,0.0461,185.79
HTFB,HTFB,HRZN,,BB,8.0,06/13/2025,3/30/2023,3/30/2026,0.31,4.88%,24.49,23.53,40.36,Assetmanagement,,11.0,,,,,,25.0,1.48,0.52,24.86,24.57,0.59,1.8,24.24,26.11,23.0,26.11,24.74,0.5,-1.37,37.37,37.26,75.05,26.08,-1.37,1.74,22.71,77.2,2024.0,3041.0,57.0,1707.0,40.21,,,,185.17,1.0,2026.0,11.98,300.63,1.0,0.0025,186.42
SCE PRJ,SCE-J,EIX,NFF,,10.5,06/13/2025,9/15/2025,NONE,0.34,5.38%,,,384.94,Utility,,11.0,,,,,,22.8,,,22.7,23.7,0.44,-3.78,20.7,25.1,18.94,25.1,22.5,1.8,-2.6,38.02,56.24,50.75,42.29,-2.6,3.56,36.67,65.78,49667.0,33195.0,22741.0,35201.0,59.66,1.0,80.65,63.68,181.11,0.75,,14.74,292.02,5.0,0.0195,190.86
GECCO,GECCO,GECC,,BB,8.0,06/13/2025,6/30/2023,6/30/2026,0.36,5.88%,24.75,24.05,11.54,Assetmanagement,,11.0,,,,,,25.2,1.2,0.5,25.16,24.86,0.36,1.56,24.26,26.55,23.0,26.55,24.93,0.67,-1.62,38.36,38.07,71.87,29.37,-1.62,1.93,25.55,76.01,1210.0,1079.0,648.0,979.0,45.07,,,,195.01,1.0,2026.0,12.72,316.53,1.0,0.0025,196.26
OCCIM,OCCIM,OCCI,,Term,8.0,05/20/2025,10/31/2026,10/31/2029,0.16,7.88%,,,20.70,Cef,,77.0,,,,,,24.72,,,,,,,24.18,25.21,24.18,25.21,24.89,0.71,-0.32,36.42,39.48,71.12,12.24,-0.32,0.71,10.79,83.66,2227.0,2034.0,2057.0,2106.0,44.03,,,,188.28,1.0,2029.0,10.99,306.48,1.0,0.0212,198.88
CIM PRB,CIM-B,CIM,FF,,8.0,06/02/2025,3/30/2024,NONE,0.65,8.00%,,,80.92,Reit,,0.0,,,,,,24.33,,,24.49,24.78,1.37,0.18,21.6,25.59,19.26,25.59,24.17,2.57,-1.42,34.0,42.77,36.36,26.74,-1.42,4.91,23.28,57.31,26046.0,31958.0,18598.0,25534.0,43.09,51.91,63.89,79.6,183.89,1.0,,9.12,300.41,2.0,0.0329,200.34
XFLT PRA,XFLT-A,XFLT,,,8.0,07/14/2025,3/31/2023,3/31/2026,0.41,6.50%,25.46,24.54,76.12,Cef,,42.0,,,,,,25.12,0.58,-0.34,25.12,24.98,0.0,0.56,24.61,25.45,24.21,25.45,24.9,0.29,-0.55,39.92,41.48,78.97,15.27,-0.55,0.69,13.4,83.79,3116.0,1987.0,653.0,1919.0,46.7,,,,202.26,1.0,2026.0,14.22,327.62,1.0,0.0025,203.51
ATCOL,ATCOL,-,,,8.0,07/15/2025,5/13/2023,10/30/2027,0.45,7.13%,,,-,-,,43.0,,,,,,25.14,,,24.94,24.97,0.81,0.66,22.45,25.45,22.45,25.9,24.91,2.46,-0.54,36.42,41.14,38.41,15.14,-0.99,2.46,18.4,72.68,1894.0,2330.0,2141.0,2122.0,42.16,,,,181.8,1.0,2027.0,10.83,295.78,1.0,0.0456,204.6
ATH PRC,ATH-C,-,NFF,,11.5,06/13/2025,9/30/2025,NONE,0.4,6.38%,,,-,-,,11.0,,,,,,25.32,,,25.11,25.1,0.38,0.41,24.24,25.46,22.45,25.64,24.85,0.61,-0.61,38.28,41.99,72.99,16.06,-0.79,2.4,16.13,73.06,61364.0,66168.0,77305.0,68279.0,42.16,,,,200.85,1.0,,12.7,326.28,6.0,0.0093,205.5
